bundle	deleted	entity_id	revision_id	langcode	delta	field_event_date_value
event	0	11138	11138	und	0	1890-06-06
event	0	11139	11139	und	0	1890-06-23
event	0	11140	11140	und	0	1890-08-16
event	0	11141	11141	und	0	1890-09-05
event	0	11142	11142	und	0	1890-12-01
event	0	11143	160647	und	0	1891-05-31
event	0	11144	11144	und	0	1892-01-03
event	0	11145	159094	und	0	1892-03-16
event	0	11146	177857	und	0	1892-07-23
event	0	11147	11147	und	0	1892-08-20
event	0	11148	162730	und	0	1892-09-10
event	0	11149	11149	und	0	1893-01-04
event	0	11151	167626	und	0	1893-06-07
event	0	11152	11152	und	0	1893-06-17
event	0	11153	11153	und	0	1893-07-09
event	0	11154	11154	und	0	1893-10-10
event	0	11155	11155	und	0	1893-11-01
event	0	11156	11156	und	0	1893-11-04
event	0	11157	11157	und	0	1893-12-04
event	0	11158	11158	und	0	1894-07-31
event	0	11159	11159	und	0	1894-08-02
event	0	11160	172578	und	0	1894-08-22
event	0	11161	11161	und	0	1894-08-23
event	0	11162	11162	und	0	1894-10-20
event	0	11163	11163	und	0	1894-12-05
event	0	11164	11164	und	0	1895-08-05
event	0	11165	11165	und	0	1895-12-14
event	0	11166	157619	und	0	1895-12-29
event	0	11167	11167	und	0	1896-01-06
event	0	11168	11168	und	0	1896-02-19
event	0	11169	11169	und	0	1896-03-04
event	0	11170	11170	und	0	1896-08-24
event	0	11171	11171	und	0	1896-09-11
event	0	11172	11172	und	0	1897-02-10
event	0	11173	159638	und	0	1897-04-21
event	0	11174	11174	und	0	1897-05-05
event	0	11176	11176	und	0	1897-09-26
event	0	11177	157307	und	0	1897-12-23
event	0	11178	11178	und	0	1898-02-19
event	0	11179	171072	und	0	1898-03-14
event	0	11180	11180	und	0	1898-03-26
event	0	11182	11182	und	0	1899-05-18
event	0	11183	11183	und	0	1899-07-08
event	0	11184	11184	und	0	1899-09-04
event	0	11185	181487	und	0	1899-10-06
event	0	11186	179279	und	0	1899-10-11
event	0	11187	163396	und	0	1899-10-14
event	0	11188	163569	und	0	1899-10-21
event	0	11189	11189	und	0	1899-11-02
event	0	11191	11191	und	0	1899-12-11
event	0	11192	11192	und	0	1899-12-15
event	0	11193	11193	und	0	1899-12-18
event	0	11194	157399	und	0	1900-01-10
event	0	11195	11195	und	0	1900-01-18
event	0	11197	11197	und	0	1900-01-18
event	0	11199	11199	und	0	1900-02-09
event	0	11200	11200	und	0	1900-02-14
event	0	11201	173968	und	0	1900-02-15
event	0	11202	11202	und	0	1900-02-16
event	0	11203	11203	und	0	1900-02-28
event	0	11204	11204	und	0	1900-02-28
event	0	11205	174732	und	0	1900-04-03
event	0	11206	11206	und	0	1900-05-17
event	0	11207	11207	und	0	1900-05-17
event	0	11208	11208	und	0	1900-05-24
event	0	11209	11209	und	0	1900-05-28
event	0	11210	11210	und	0	1900-07-03
event	0	11211	11211	und	0	1900-07-11
event	0	11212	172633	und	0	1900-08-29
event	0	11213	163051	und	0	1900-09-22
event	0	11215	11215	und	0	1900-12-07
event	0	11216	157522	und	0	1900-12-20
event	0	11217	158085	und	0	1901-01-24
event	0	11218	11218	und	0	1901-02-06
event	0	11219	11219	und	0	1901-02-07
event	0	11220	11220	und	0	1901-02-13
event	0	11221	159429	und	0	1901-04-09
event	0	11222	11222	und	0	1901-04-24
event	0	11223	11223	und	0	1901-04-30
event	0	11224	11224	und	0	1901-05-19
event	0	11225	11225	und	0	1901-05-28
event	0	11226	160615	und	0	1901-05-31
event	0	11227	11227	und	0	1901-05-31
event	0	11228	11228	und	0	1901-06-03
event	0	11229	11229	und	0	1901-07-16
event	0	11230	11230	und	0	1901-07-19
event	0	11231	11231	und	0	1901-07-21
event	0	11232	11232	und	0	1901-07-25
event	0	11233	161842	und	0	1901-07-27
event	0	11234	11234	und	0	1901-08-04
event	0	11235	11235	und	0	1901-08-10
event	0	11236	11236	und	0	1901-08-16
event	0	11237	11237	und	0	1901-08-22
event	0	11238	11238	und	0	1901-09-08
event	0	11241	169457	und	0	1901-10-20
event	0	11242	163669	und	0	1901-10-22
event	0	11243	11243	und	0	1901-12-10
event	0	11244	11244	und	0	1902-01-18
event	0	11245	158946	und	0	1902-03-07
event	0	11246	11246	und	0	1902-03-20
event	0	11248	11248	und	0	1902-04-04
event	0	11249	159389	und	0	1902-04-07
event	0	11250	159954	und	0	1902-05-06
event	0	11251	160193	und	0	1902-05-15
event	0	11252	11252	und	0	1902-05-28
event	0	11253	160614	und	0	1902-05-30
event	0	11254	11254	und	0	1902-07-28
event	0	11255	11255	und	0	1902-09-11
event	0	11256	11256	und	0	1902-09-16
event	0	11257	11257	und	0	1902-09-28
event	0	11258	11258	und	0	1902-10-06
event	0	11261	11261	und	0	1903-02-03
event	0	11262	11262	und	0	1903-03-21
event	0	11264	11264	und	0	1903-05-18
event	0	11265	11265	und	0	1903-09-29
event	0	11266	11266	und	0	1903-10-08
event	0	11267	11267	und	0	1903-11-17
event	0	11268	11268	und	0	1903-12-17
event	0	11269	157776	und	0	1904-01-11
event	0	11270	11270	und	0	1904-01-14
event	0	11271	159102	und	0	1904-03-17
event	0	11272	159288	und	0	1904-04-02
event	0	11273	11273	und	0	1904-04-14
event	0	11274	11274	und	0	1904-06-11
event	0	11275	11275	und	0	1904-06-19
event	0	11279	11279	und	0	1904-07-14
event	0	11280	162047	und	0	1904-08-11
event	0	11281	11281	und	0	1904-11-28
event	0	11283	11283	und	0	1905-04-18
event	0	11284	11284	und	0	1905-06-29
event	0	11286	11286	und	0	1905-07-01
event	0	11289	11289	und	0	1905-09-13
event	0	11290	11290	und	0	1905-10-29
event	0	11292	169802	und	0	1905-11-24
event	0	11293	11293	und	0	1906-01-01
event	0	11294	11294	und	0	1906-01-06
event	0	11295	11295	und	0	1906-02-04
event	0	11296	158383	und	0	1906-02-08
event	0	11297	11297	und	0	1906-02-10
event	0	11299	11299	und	0	1906-04-14
event	0	11300	159632	und	0	1906-04-19
event	0	11301	160866	und	0	1906-06-10
event	0	11302	11302	und	0	1906-06-11
event	0	11303	162731	und	0	1906-09-11
event	0	11304	11304	und	0	1906-10-30
event	0	11305	11305	und	0	1906-12-06
event	0	11306	11306	und	0	1906-12-24
event	0	11307	157604	und	0	1906-12-25
event	0	11308	11308	und	0	1907-03-22
event	0	11309	11309	und	0	1907-04-05
event	0	11310	163205	und	0	1907-09-25
event	0	11311	157169	und	0	1907-11-28
event	0	11312	165823	und	0	1908-01-10
event	0	11313	11313	und	0	1908-06-24
event	0	11314	11314	und	0	1908-08-20
event	0	11315	162523	und	0	1908-08-28
event	0	11317	11317	und	0	1908-10-28
event	0	11318	11318	und	0	1908-11-05
event	0	11320	11320	und	0	1909-05-11
event	0	11321	11321	und	0	1909-08-14
event	0	11322	168955	und	0	1909-09-05
event	0	11323	169757	und	0	1909-11-19
event	0	11324	158808	und	0	1910-02-26
event	0	11325	11325	und	0	1910-03-19
event	0	11326	11326	und	0	1910-05-20
event	0	11327	160372	und	0	1910-05-21
event	0	11328	11328	und	0	1910-05-31
event	0	11329	135337	und	0	1910-05-31
event	0	11330	11330	und	0	1904-08-29
event	0	11332	11332	und	0	1910-09-15
event	0	11333	11333	und	0	1978-01-12
event	0	11334	11334	und	0	1910-10-02
event	0	11336	11336	und	0	1911-02-22
event	0	11337	11337	und	0	1911-06-18
event	0	11338	11338	und	0	1911-07-01
event	0	11339	11339	und	0	1911-07-04
event	0	11340	11340	und	0	1911-09-05
event	0	11341	11341	und	0	1912-01-08
event	0	11343	11343	und	0	1912-04-15
event	0	11345	173546	und	0	1912-12-14
event	0	11348	11348	und	0	1913-06-06
event	0	11350	11350	und	0	1913-07-04
event	0	11351	11351	und	0	1913-07-25
event	0	11352	11352	und	0	1913-08-12
event	0	11353	11353	und	0	1913-09-23
event	0	11354	11354	und	0	1913-10-13
event	0	11355	11355	und	0	1913-10-18
event	0	11356	164321	und	0	1913-11-06
event	0	11357	162774	und	0	1913-09-09
