90615	A march in which thousands of people take part to protest against councillors, leads to violence in the Vaal Triangle. The marc
73043	A Marine Traffic Bill empowers the Minister of Transport Affairs to order ships to be stopped or searched if they are believed
89955	A mass arrest of 2,000 Nyanga squatters is carried out, under immigration legislation allowing summary deportation.
72765	A mass meeting in Cape Town requests British government to recognise British settlement in Natal.
82011	A mass meeting is held in Cape Town to petition Queen Victoria to grant the Cape responsible government.
82065	A mass meeting is held in Cape Town to petition Queen Victoria to grant the Cape responsible government.
82519	A May Day rally is addressed by President Mandela at Umlazi. He is escorted from the stadium in an armoured car when shots are
85908	A meeting between the End Conscription Campaign (ECC) and the SADF takes place, with a main objective to discuss alternative na
85909	A meeting between the End Conscription Campaign (ECC) and the SADF takes place, with a main objective to discuss alternative na
69303	A meeting between the Prime Minister, P.W. Botha and Coloured leaders for preliminary discussion on the constitutional future o
69250	A meeting convened by Chief Lucas Mangope, Chief Minister of Bophuthatswana, held in Umtata in camera and attended by eight ‘ho
88738	A meeting in Johannesburg, called by the South African Native National Congress is attended by a large number of people from th
92153	A meeting is held between Prime Minister John Vorster and eight ‘homeland’ leaders to discuss the unrest, which has left at lea
79560	A meeting of the African National Congress (ANC), African People’s Organisation (APO), Natal Indian Congress (NIC) and Transvaa
87467	A meeting of the Anti-Convict Association is held in Cape Town.
87482	A meeting of the World Council of Churches in Sweden (4 -19 July), at which the Rt Rev A.H. Zulu, Bishop of Zululand and Swazil
85818	A member of the three-man Presidential Council of the PAC, David M. Sibeko, dies in Dar es Salaam, Tanzania, after being shot t
74667	A member of the Zulu royal household, Prince Thulani Zulu, is shot dead in Nongoma in northern KwaZulu-Natal.
74415	A memorial service, attended by several dignitaries, is held for Archbishop Denis Hurley at the Cathedral of the Sacred Heart i
92251	A memorial tablet for Johannes van der Walt, SA wrestler and national hero of an Afrikaner section, is unveiled at the Rand Afr
76239	A methane-gas explosion at Gencor’s Ermelo mines kills thirty-four miners and injures at least another sixteen.
73216	A metrobus is hijacked in Rosettenville, Johannesburg.
12635	A military coup deposes the Lesotho Government
83324	A military coup fails to remove Mengistu Haile Mariam as president of Ethiopia.
81657	A military coup in Chad overthrows President Ngarta Tombaloaye, who is killed. Felix Malloum takes over at the head of a seven-
74367	A military coup in Ghana deposes President Kwame Nkrumah while he is out of the country on his way to China.  ;
